account for;expliquer
act up;déconner, fonctionner mal, se comporter mal ou bizarement
add up;additionner, calculer
aim at;cibler, viser
answer back;répondre mal à quelqu'un, avec de l'authorité
ask about;demander comment va quelqu'un
ask around;demander de l'aide ou un renseignement à quelqu'un
ask out;proposer un rendez-vous à quelqu'un
back up;soutenir, sauvegarder
beat up;tabasser
bend down;se baisser
bend over;se pencher
blow out;souffler
blow up; sauter, exploser
break down;tomber en panne
break in;entrer par effraction
break up;rompre
breathe in;inspirer
breathe out;expirer
bring back;rapporter
bring up;etre eleve
bump into;rencontrer par hasard
call back;rappeler
call off;annuler
call on;rendre visite à
calm down;se calmer
care about;se soucier de
care for;s'occuper de
carry on;continuer
catch up;rattraper
chase after;courir après
chase away;chasser, faire fuir
check in;s'enregistrer
check out;quitter un lieu
cheer up;remonter le moral
chop down;abattre
clean up;nettoyer
clear out;vider
clear up;nettoyer
climb down;descendre
climb over;passer par-dessus
climb up;monter
close down;fermer définitivement (restaurant, cinéma, entreprise&#8230;)
come accross;trouver par chance, tomber sur&#8230;
come back;revenir
come down;baisser
come in;entrer
come off;se détacher, s'enlever
come over;venir, passer
come out;sortir
come around;venir
come to;to reprendre connaissance
come up;se lever
come up to;s'approcher de
cool down;refroidir, rafraichir
cross off;rayer
cross out;barrer
cross over;traverser
cry out;pousser un cri
cut off;couper
cut out;découper avec des ciseaux
