Date,Heure,Produit,Code ISIN,Place boursiè,Lieu d'exécution,Quantité,Cours,,Montant devise locale,,Montant,,Taux de change,Frais de courtage,,Montant négocié,,ID Ordre
10-08-2023,15:30,TELUS CORPORATION ORDI,CA87971M1032,NSY,XNYS,2,17.6600,USD,-35.32,USD,-32.07,EUR,1.1015,,,-32.07,EUR,9f0edb36-9f26-4895-8d1b-d1caeded5a01
10-08-2023,15:30,TELUS CORPORATION ORDI,CA87971M1032,NSY,XNYS,4,17.6600,USD,-70.64,USD,-64.13,EUR,1.1015,,,-64.13,EUR,9f0edb36-9f26-4895-8d1b-d1caeded5a01
10-08-2023,15:30,TELUS CORPORATION ORDI,CA87971M1032,NSY,XNYS,1,17.6600,USD,-17.66,USD,-16.03,EUR,1.1015,,,-16.03,EUR,9f0edb36-9f26-4895-8d1b-d1caeded5a01
10-08-2023,15:30,TELUS CORPORATION ORDI,CA87971M1032,NSY,XNYS,13,17.6600,USD,-229.58,USD,-208.43,EUR,1.1015,-2.00,EUR,-210.43,EUR,9f0edb36-9f26-4895-8d1b-d1caeded5a01
22-06-2023,16:46,ROYAL BANK OF CANADA C,CA7800871021,NSY,CDED,3,94.2800,USD,-282.84,USD,-257.83,EUR,1.0970,-2.00,EUR,-259.83,EUR,cb71d3dc-0edb-45f0-8055-45fda465f4d9
22-06-2023,16:45,TORONTO DOMINION BANK,CA8911605092,NSY,CDED,5,60.0600,USD,-300.30,USD,-273.75,EUR,1.0970,-2.00,EUR,-275.75,EUR,d8eb063c-b882-4190-bd96-e333ef14bcf4
22-06-2023,16:45,TELUS CORPORATION ORDI,CA87971M1032,NSY,SOHO,20,19.2200,USD,-384.40,USD,-350.44,EUR,1.0969,-2.00,EUR,-352.44,EUR,02680615-f995-4dba-a7b5-06173acc0955
22-06-2023,09:56,ISHARES $ TIPS UCITS ETF,IE00B1FZSC47,MIL,ETFP,5,210.5000,EUR,-1052.50,EUR,-1052.50,EUR,,-3.00,EUR,-1055.50,EUR,a767673f-efea-4e6f-92e8-3f0045e4c9a9
18-05-2023,09:57,BANK OF NOVA SCOTIA,CA0641491075,TDG,XGAT,10,46.1700,EUR,-461.70,EUR,-461.70,EUR,,-3.90,EUR,-465.60,EUR,a4904210-ec9d-4520-9154-1f106538c3e3
17-05-2023,14:49,VANGUARD USDTRBOND,IE00BZ163M45,EAM,XAMS,20,20.7480,EUR,-414.96,EUR,-414.96,EUR,,-1.00,EUR,-415.96,EUR,6fb44b36-4f4d-41a5-bd04-4b55491624fc
02-03-2023,15:33,UNITED PARCEL SERVICE,US9113121068,NSY,XNYS,5,182.8200,USD,-914.10,USD,-862.45,EUR,1.0599,-1.00,EUR,-863.45,EUR,e4f4af67-8501-4858-bea6-a502ed49812a
02-03-2023,12:57,VANGUARD GLOBAL AGGREGATE BOND ETF EUR HGD ACC,IE00BG47KH54,XET,XETA,50,21.8440,EUR,-1092.20,EUR,-1092.20,EUR,,-1.00,EUR,-1093.20,EUR,3b99009e-a281-41d4-9fac-6daf6338f4fe
12-01-2023,11:04,ISHARES NASDAQ 100 UCITS ETF USD (ACC),IE00B53SZB19,XET,XETA,2,601.3000,EUR,-1202.60,EUR,-1202.60,EUR,,-1.00,EUR,-1203.60,EUR,ce5d4238-5c05-4a2c-9d05-027f3cf2158f
12-01-2023,10:57,ISH DM PPTY YLD,IE00BFM6T921,LSE,XLON,100,5.2870,USD,-528.70,USD,-490.95,EUR,1.0769,-1.00,EUR,-491.95,EUR,f549cb76-fabf-4c2b-a63b-f640f6277682
12-01-2023,10:51,AMUNDI PHYS GOLD,FR0013416716,EPA,XPAR,15,69.6500,EUR,-1044.75,EUR,-1044.75,EUR,,-1.00,EUR,-1045.75,EUR,9773bbfd-395c-426c-a168-a9fff75af099
02-12-2022,09:30,ISH DM PPTY YLD,IE00BFM6T921,LSE,XLON,100,5.1770,USD,-517.70,USD,-491.83,EUR,1.0526,-1.00,EUR,-492.83,EUR,47ca3956-0251-47fc-a5f2-89bb2bf2150f
02-12-2022,09:29,LYXORCOMMTHREUTERS/CORECOMMCRBEXENERGYTRUCITSETFA,LU1829218582,XET,XETA,-20,24.9050,EUR,498.10,EUR,498.10,EUR,,-1.00,EUR,497.10,EUR,f73481f6-570d-42a2-bf2f-78ffb50eba8b
29-09-2022,17:02,ISHARES $ TIPS UCITS ETF,IE00B1FZSC47,MIL,CHIX,-14,228.6500,EUR,3201.10,EUR,3201.10,EUR,,-1.00,EUR,3200.10,EUR,a3cc1b24-437f-4b7f-a5f3-7d32c1777b56
29-09-2022,17:02,ISHARES $ TIPS UCITS ETF,IE00B1FZSC47,MIL,CEUX,-21,228.5100,EUR,4798.71,EUR,4798.71,EUR,,-1.00,EUR,4797.71,EUR,d340d5a0-e991-40b5-8b68-5660790dc4fc
26-09-2022,15:38,ISH DM PPTY YLD,IE00BFM6T921,LSE,XLON,100,4.7980,USD,-479.80,USD,-496.33,EUR,0.9667,-1.00,EUR,-497.33,EUR,eff8446c-866f-44ff-89cb-b78aec84b814
02-03-2022,10:43,LYXORCOMMTHREUTERS/CORECOMMCRBEXENERGYTRUCITSETFA,LU1829218582,XET,XETA,20,25.8750,EUR,-517.50,EUR,-517.50,EUR,,-0.50,EUR,-518.00,EUR,c212f4fd-956e-4bed-ad55-6745cc6bb85d
29-12-2021,09:00,ISH DM PPTY YLD,IE00BFM6T921,LSE,XLON,100,6.5700,USD,-657.00,USD,-581.47,EUR,1.1299,-0.50,EUR,-581.97,EUR,d502e484-0123-4c7e-95c7-ad27542bd89a
24-08-2021,15:28,AMUNDI PHYS GOLD,FR0013416716,EPA,XPAR,50,61.3350,EUR,-3066.75,EUR,-3066.75,EUR,,-2.61,EUR,-3069.36,EUR,5cb39c2e-0f2f-4cfe-b13d-61e5fbf40891
24-08-2021,15:09,ISHARES $ TIPS UCITS ETF,IE00B1FZSC47,MIL,MTAA,20,215.9700,EUR,-4319.40,EUR,-4319.40,EUR,,-2.86,EUR,-4322.26,EUR,3d609e40-5614-4027-abec-2095a28f711c
24-08-2021,15:06,ISH DM PPTY YLD,IE00BFM6T921,LSE,XLON,58,6.3660,USD,-369.23,USD,-314.18,EUR,1.1752,-0.06,EUR,-314.24,EUR,909cfb28-14a8-4492-b063-df38a74d2dbf
24-08-2021,15:06,ISH DM PPTY YLD,IE00BFM6T921,LSE,XLON,192,6.3650,USD,-1222.08,USD,-1039.89,EUR,1.1752,-2.21,EUR,-1042.10,EUR,909cfb28-14a8-4492-b063-df38a74d2dbf
17-03-2021,13:20,ISH DM PPTY YLD,IE00BFM6T921,LSE,XLON,210,5.6980,USD,-1196.58,USD,-1005.70,EUR,1.1898,-2.20,EUR,-1007.90,EUR,1eff2fc3-22b9-4b4e-a455-6b6d7341b1d0
17-03-2021,13:19,ISHARES $ TIPS UCITS ETF,IE00B1FZSC47,MIL,MTAA,15,201.6300,EUR,-3024.45,EUR,-3024.45,EUR,,-2.60,EUR,-3027.05,EUR,5a2f2840-26e4-449e-a4c7-4267f0aa516c
29-01-2021,16:49,ISHARES NASDAQ 100 UCITS ETF USD (ACC),IE00B53SZB19,XET,XETA,1,608.3000,EUR,-608.30,EUR,-608.30,EUR,,-2.12,EUR,-610.42,EUR,9400b5d1-1023-4343-bba8-94b60af81751
