Date,Heure,Date de,Produit,Code ISIN,Description,FX,Mouvements,,Solde,,ID Ordre
29-07-2023,07:35,28-07-2023,,,Operation de change - Crédit,,EUR,"5,44",EUR,"3796,30",
29-07-2023,07:35,28-07-2023,,,Opération de change - Débit,"1,4615",CAD,"-7,95",CAD,"0,00",
28-07-2023,16:35,28-07-2023,,,"Virement vers votre Compte Espèces à la flatexDEGIRO Bank: 1,03 EUR",,,,EUR,"3790,86",
28-07-2023,16:35,28-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,03",EUR,"3789,83",
28-07-2023,07:38,27-07-2023,,,Operation de change - Crédit,,EUR,"1,03",EUR,"3790,86",
28-07-2023,07:38,27-07-2023,,,Opération de change - Débit,"1,1006",USD,"-1,13",USD,"0,00",
28-07-2023,07:00,27-07-2023,BANK OF NOVA SCOTIA,CA0641491075,Dividende,,CAD,"10,60",CAD,"7,95",
28-07-2023,07:00,27-07-2023,BANK OF NOVA SCOTIA,CA0641491075,Impôts sur dividende,,CAD,"-2,65",CAD,"-2,65",
27-07-2023,07:10,26-07-2023,VANGUARD USDTRBOND,IE00BZ163M45,Dividende,,USD,"1,13",USD,"1,13",
04-07-2023,00:49,03-07-2023,,,"Virement depuis votre Compte Espèces à la flatexDEGIRO Bank: 2,5 EUR",,,,EUR,"3789,83",
04-07-2023,00:49,03-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"2,50",EUR,"3792,33",
03-07-2023,13:07,30-06-2023,,,Frais de connexion aux places boursières 2023 (Borsa Italiana S.p.A. - MIL),,EUR,"-2,50",EUR,"3789,83",
02-07-2023,11:41,30-06-2023,,,Flatex Interest Income,,EUR,"0,00",EUR,"3792,33",
30-06-2023,19:05,30-06-2023,,,"Virement vers votre Compte Espèces à la flatexDEGIRO Bank: 1,07 EUR",,,,EUR,"3792,33",
30-06-2023,19:05,30-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,07",EUR,"3791,26",
30-06-2023,07:58,29-06-2023,,,Operation de change - Crédit,,EUR,"1,07",EUR,"3792,33",
30-06-2023,07:58,29-06-2023,,,Opération de change - Débit,"1,0892",USD,"-1,16",USD,"0,00",
29-06-2023,07:12,28-06-2023,VANGUARD USDTRBOND,IE00BZ163M45,Dividende,,USD,"1,16",USD,"1,16",
23-06-2023,11:07,22-06-2023,,,"Virement depuis votre Compte Espèces à la flatexDEGIRO Bank: 890,23 EUR",,,,EUR,"3791,26",
23-06-2023,11:07,22-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"890,23",EUR,"4681,49",
22-06-2023,17:49,22-06-2023,,,"Virement depuis votre Compte Espèces à la flatexDEGIRO Bank: 1 055,5 EUR",,,,EUR,"3791,26",
22-06-2023,17:49,22-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"1055,50",EUR,"4846,76",
22-06-2023,16:46,22-06-2023,ROYAL BANK OF CANADA C,CA7800871021,Operation de change - Crédit,"1,0943",USD,"282,84",USD,"0,00",cb71d3dc-0edb-45f0-8055-45fda465f4d9
22-06-2023,16:46,22-06-2023,ROYAL BANK OF CANADA C,CA7800871021,Opération de change - Débit,,EUR,"-258,48",EUR,"3791,26",cb71d3dc-0edb-45f0-8055-45fda465f4d9
22-06-2023,16:46,22-06-2023,ROYAL BANK OF CANADA C,CA7800871021,Frais DEGIRO de courtage et/ou de parties tierces,,EUR,"-2,00",EUR,"4049,74",cb71d3dc-0edb-45f0-8055-45fda465f4d9
22-06-2023,16:46,22-06-2023,ROYAL BANK OF CANADA C,CA7800871021,"Achat 3 ROYAL BANK OF CANADA C@94,28 USD (CA7800871021)",,USD,"-282,84",USD,"-282,84",cb71d3dc-0edb-45f0-8055-45fda465f4d9
22-06-2023,16:45,22-06-2023,TORONTO DOMINION BANK,CA8911605092,Operation de change - Crédit,"1,0943",USD,"300,30",USD,"0,00",d8eb063c-b882-4190-bd96-e333ef14bcf4
22-06-2023,16:45,22-06-2023,TORONTO DOMINION BANK,CA8911605092,Opération de change - Débit,,EUR,"-274,43",EUR,"4051,74",d8eb063c-b882-4190-bd96-e333ef14bcf4
22-06-2023,16:45,22-06-2023,TORONTO DOMINION BANK,CA8911605092,Frais DEGIRO de courtage et/ou de parties tierces,,EUR,"-2,00",EUR,"4326,17",d8eb063c-b882-4190-bd96-e333ef14bcf4
22-06-2023,16:45,22-06-2023,TORONTO DOMINION BANK,CA8911605092,"Achat 5 TORONTO DOMINION BANK@60,06 USD (CA8911605092)",,USD,"-300,30",USD,"-300,30",d8eb063c-b882-4190-bd96-e333ef14bcf4
22-06-2023,16:45,22-06-2023,TELUS CORPORATION ORDI,CA87971M1032,Operation de change - Crédit,"1,0942",USD,"384,40",USD,"0,00",02680615-f995-4dba-a7b5-06173acc0955
22-06-2023,16:45,22-06-2023,TELUS CORPORATION ORDI,CA87971M1032,Opération de change - Débit,,EUR,"-351,32",EUR,"4328,17",02680615-f995-4dba-a7b5-06173acc0955
22-06-2023,16:45,22-06-2023,TELUS CORPORATION ORDI,CA87971M1032,Frais DEGIRO de courtage et/ou de parties tierces,,EUR,"-2,00",EUR,"4679,49",02680615-f995-4dba-a7b5-06173acc0955
22-06-2023,16:45,22-06-2023,TELUS CORPORATION ORDI,CA87971M1032,"Achat 20 TELUS CORPORATION ORDI@19,22 USD (CA87971M1032)",,USD,"-384,40",USD,"-384,40",02680615-f995-4dba-a7b5-06173acc0955
22-06-2023,09:56,22-06-2023,ISHARES $ TIPS UCITS ETF,IE00B1FZSC47,Frais DEGIRO de courtage et/ou de parties tierces,,EUR,"-3,00",EUR,"4681,49",a767673f-efea-4e6f-92e8-3f0045e4c9a9
22-06-2023,09:56,22-06-2023,ISHARES $ TIPS UCITS ETF,IE00B1FZSC47,"Achat 5 ISHARES $ TIPS UCITS ETF@210,5 EUR (IE00B1FZSC47)",,EUR,"-1052,50",EUR,"4684,49",a767673f-efea-4e6f-92e8-3f0045e4c9a9
