Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market sell,2022-08-04 07:02:07,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",0.7261110000,16.28,USD,1.01678,4.55,"EUR",11.60,"EUR",,EOF2001238692,0.02,"EUR"
Market sell,2022-08-04 07:02:09,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",27.0000000000,16.28,USD,1.01678,169.46,"EUR",431.52,"EUR",,EOF2001238889,0.65,"EUR"
Market sell,2022-09-05 14:13:32,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",3.6581000000,687.41,USD,0.99237,347.61,"EUR",2530.15,"EUR",,EOF2039646686,3.80,"EUR"
Market sell,2022-09-05 14:13:34,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",1.3446453000,687.33,USD,0.99241,127.62,"EUR",929.88,"EUR",,EOF2039646688,1.40,"EUR"
Market sell,2022-09-05 14:14:21,IE00BJ38QD84,R2US,"SPDR Russell 2000 U.S. Small Cap (Acc)",13.5820000000,51.04,USD,0.99267,42.62,"EUR",697.29,"EUR",,EOF2039646710,1.05,"EUR"
Market sell,2022-09-05 14:14:22,IE00BJ38QD84,R2US,"SPDR Russell 2000 U.S. Small Cap (Acc)",6.4180000000,51.04,USD,0.99267,20.14,"EUR",329.50,"EUR",,EOF2039646711,0.49,"EUR"
Market buy,2023-03-21 14:50:37,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",100.0000000000,9.55,USD,1.07754,,"EUR",887.84,"EUR",,EOF2324335617,1.33,"EUR"
Market sell,2023-04-20 13:37:47,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",83.0000000000,12.03,USD,1.09758,173.84,"EUR",908.28,"EUR",,EOF2369993000,1.36,"EUR"
Market sell,2023-04-20 13:37:47,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",17.0000000000,12.03,USD,1.09758,35.60,"EUR",186.03,"EUR",,EOF2369993001,0.28,"EUR"
Interest on cash,2023-06-05 21:06:13,,,,,,,,,,0.25,"EUR","Interest on cash",1e7bd82c-ed42-4407-9726-135eabe1218a,,
Interest on cash,2023-06-06 21:08:29,,,,,,,,,,0.25,"EUR","Interest on cash",3f338723-0fe5-429e-a1c0-dbdb6838dcb3,,
Interest on cash,2023-06-07 21:09:01,,,,,,,,,,0.25,"EUR","Interest on cash",6b4d8bf5-fd22-4285-9a5c-3948b07fc3c4,,
Interest on cash,2023-06-08 21:08:59,,,,,,,,,,0.26,"EUR","Interest on cash",8af53ad7-bfb2-4858-949f-9964447dc382,,
Interest on cash,2023-06-09 21:09:06,,,,,,,,,,0.25,"EUR","Interest on cash",52c2a0a8-ab36-4076-8f52-f6c76da649f4,,
Interest on cash,2023-06-10 21:09:19,,,,,,,,,,0.25,"EUR","Interest on cash",8fa59842-57e4-4799-869f-d23f92683c87,,
Interest on cash,2023-06-11 21:09:16,,,,,,,,,,0.26,"EUR","Interest on cash",255b859d-c369-4bab-b24a-177221a01757,,
Interest on cash,2023-06-12 21:09:25,,,,,,,,,,0.25,"EUR","Interest on cash",eac85c24-a79b-4ada-9314-3c97c145d4b9,,
Interest on cash,2023-06-13 21:08:57,,,,,,,,,,0.25,"EUR","Interest on cash",72b5a1c7-686a-43cc-943a-e50a80cc5f61,,
Interest on cash,2023-06-14 21:09:14,,,,,,,,,,0.26,"EUR","Interest on cash",8d319324-1783-4c3f-b25e-5975ce388f5b,,
Interest on cash,2023-06-15 21:08:43,,,,,,,,,,0.25,"EUR","Interest on cash",ff6d2525-da89-4b3d-b00d-d966102851dd,,
Interest on cash,2023-06-16 21:08:06,,,,,,,,,,0.25,"EUR","Interest on cash",3c450545-858d-4db9-b9b8-ff0a7bc3219b,,
Interest on cash,2023-06-17 21:08:02,,,,,,,,,,0.26,"EUR","Interest on cash",9026811f-c1dd-4abc-bcfa-cc99fc5724a4,,
Interest on cash,2023-06-18 21:08:01,,,,,,,,,,0.25,"EUR","Interest on cash",82c9aecd-887e-48fb-8087-f0c05056326c,,
Interest on cash,2023-06-19 21:07:51,,,,,,,,,,0.25,"EUR","Interest on cash",7c07f543-ff37-4308-aa3c-d0393efa3c2e,,
Interest on cash,2023-06-20 21:07:47,,,,,,,,,,0.26,"EUR","Interest on cash",e14d76b8-6d25-41e2-829b-1904083574d8,,
Interest on cash,2023-06-21 21:08:32,,,,,,,,,,0.25,"EUR","Interest on cash",82967991-7722-422e-9e7c-c20bf822b365,,
Interest on cash,2023-06-22 21:08:28,,,,,,,,,,0.25,"EUR","Interest on cash",80a1e049-5756-4481-8cdd-c461c4f6807b,,
Interest on cash,2023-06-23 21:08:11,,,,,,,,,,0.25,"EUR","Interest on cash",f769cc0f-7fde-417c-8bdf-d345f4a3afe6,,
Interest on cash,2023-06-24 21:07:29,,,,,,,,,,0.26,"EUR","Interest on cash",82a35a64-f96d-4853-9fdc-3a19680cb09f,,
Interest on cash,2023-06-25 21:07:26,,,,,,,,,,0.25,"EUR","Interest on cash",7e208c05-1eb5-4c66-9263-dc453f672f61,,
